date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-05-26,13.3,13.41,13.3,13.26,12070.5,0.05,0.38,13.264,13.408,13.377,11757.78,18420.3,16500.11,0.58
2021-05-25,13.31,13.42,13.37,13.29,11152.5,0.06,0.45,13.27,13.413,13.39,12065.68,18178.1,17969.08,0.54
2021-05-24,13.11,13.39,13.31,13.11,10766.73,0.18,1.37,13.274,13.401,13.439,14871.68,18380.95,18391.98,0.52
2021-05-21,13.21,13.29,13.13,13.11,11753.0,-0.08,-0.61,13.352,13.354,13.484,19994.14,18908.18,19369.76,0.57
2021-05-20,13.36,13.36,13.21,13.15,13046.18,-0.12,-0.9,13.526,13.362,13.525,25899.85,18837.26,19570.61,0.63
2021-05-19,13.36,13.47,13.33,13.19,13610.0,-0.06,-0.45,13.552,13.364,13.566,25082.82,18737.96,19776.78,0.66
2021-05-18,13.53,13.6,13.39,13.3,25182.51,-0.31,-2.26,13.556,13.352,13.599,24290.52,18995.6,19870.0,1.21
2021-05-17,14.18,14.26,13.7,13.66,36379.0,-0.3,-2.14,13.528,13.373,13.619,21890.22,17620.93,19316.56,1.75
2021-05-14,13.34,14.2,14.0,13.3,41281.57,0.66,4.95,13.356,13.346,13.611,17822.22,15222.74,17976.87,1.99
2021-05-13,13.25,13.38,13.34,13.2,8961.01,-0.01,-0.07,13.198,13.292,13.581,11774.67,12909.07,16424.52,0.43
2021-05-12,13.37,13.38,13.35,13.18,9648.5,0.1,0.76,13.176,13.346,13.582,12393.11,14579.92,17057.15,0.47
2021-05-11,12.84,13.28,13.25,12.81,13181.0,0.41,3.19,13.148,13.366,13.607,13700.69,17760.07,17252.71,0.64
2021-05-10,13.3,13.3,12.84,12.79,16039.0,-0.37,-2.8,13.218,13.476,13.633,13351.63,18403.02,17746.14,0.77
2021-05-07,13.18,13.38,13.21,13.18,11043.82,-0.02,-0.15,13.336,13.614,13.689,12623.27,19831.34,17779.54,0.53
2021-05-06,13.1,13.31,13.23,13.1,12053.23,0.02,0.15,13.386,13.688,13.735,14043.47,20303.96,18036.82,0.58
