,Unnamed: 0.1,Unnamed: 0,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,Lable2Class
0,0,0,2017-12-29,20.31,20.48,20.47,20.2,13887.05,0.16,0.79,20.4,20.79,20.939,16938.2,20303.14,24094.45,01
1,1,1,2017-12-28,20.42,20.68,20.31,20.28,19119.15,0.03,0.15,20.468,20.930999999999997,21.026,17542.08,26040.91,24686.4,01
2,2,2,2017-12-27,20.69,20.69,20.28,20.24,16163.0,-0.26,-1.27,20.601999999999997,20.982,21.105,18758.99,25779.3,24624.63,10
3,3,3,2017-12-26,20.22,20.54,20.54,20.22,16166.41,0.14,0.69,20.788,21.049,21.19,19437.74,25556.68,24994.52,01
4,4,4,2017-12-25,20.81,20.85,20.4,20.38,19355.4,-0.41,-1.97,20.986,21.08,21.273000000000003,21141.4,26145.14,25356.31,10
5,5,5,2017-12-22,20.99,21.17,20.81,20.81,16906.45,-0.17,-0.81,21.18,21.165,21.34,23668.07,26231.36,25304.79,10
6,6,6,2017-12-21,21.4,21.4,20.98,20.79,25203.71,-0.23,-1.08,21.394,21.180999999999997,21.389,34539.73,26457.68,25461.98,10
7,7,7,2017-12-20,21.45,21.59,21.21,21.18,19556.71,-0.32,-1.49,21.362,21.153,21.428,32799.61,25898.17,26034.14,10
8,8,8,2017-12-19,21.37,21.82,21.53,21.37,24684.71,0.16,0.75,21.31,21.116,21.485,31675.62,26919.49,27173.46,01
9,9,9,2017-12-18,21.66,21.88,21.37,21.2,31988.77,-0.51,-2.33,21.174,21.035,21.51,31148.87,28929.32,27738.39,10
10,10,10,2017-12-15,21.12,22.57,21.88,21.08,71264.77,1.06,5.09,21.15,21.088,21.562,28794.65,27885.76,27671.26,01
11,11,11,2017-12-14,20.9,20.95,20.82,20.6,16503.1,-0.13,-0.62,20.968000000000004,21.12,21.569000000000003,18375.62,23331.88,27078.4,10
12,12,12,2017-12-13,21.02,21.04,20.95,20.83,13936.77,0.1,0.48,20.944000000000003,21.228,21.684,18996.73,23469.96,28137.98,01
13,13,13,2017-12-12,21.16,21.34,20.85,20.75,22050.96,-0.4,-1.88,20.921999999999997,21.331,21.79,22163.36,24432.37,29960.88,10
14,14,14,2017-12-11,21.01,21.49,21.25,21.01,20217.65,0.28,1.33,20.896,21.466,21.947,26709.76,24567.49,31589.94,01
